source_variable,variable_group,market_region,source_timestamp_convention,decision_timestamp_convention,minimum_required_lag_tw_trading_days,feature_columns_detected,verified_by_explicit_lag_or_metadata,verified_by_empirical_match,no_external_lag_required,ambiguous_columns_requiring_metadata_review,definite_timestamp_violations,rows_changed_after_proposed_correction,audit_status,interpretation
TAIEX,Taiwan market index,Taiwan,Taiwan market close on date t,Taiwan after-close forecast/allocation timestamp; same-calendar-date U.S. market close is not assumed observable before the Taiwan decision.,0,37,0,0,37,0,0,0,Zero detected timestamp violations,All detected source-specific columns satisfy the required lag by explicit metadata/name or empirical match.
0050,Taiwan ETF prices/returns,Taiwan,Taiwan ETF close on date t,Taiwan after-close forecast/allocation timestamp; same-calendar-date U.S. market close is not assumed observable before the Taiwan decision.,0,30,0,0,30,0,0,0,Zero detected timestamp violations,All detected source-specific columns satisfy the required lag by explicit metadata/name or empirical match.
006208,Taiwan ETF prices/returns,Taiwan,Taiwan ETF close on date t,Taiwan after-close forecast/allocation timestamp; same-calendar-date U.S. market close is not assumed observable before the Taiwan decision.,0,30,0,0,30,0,0,0,Zero detected timestamp violations,All detected source-specific columns satisfy the required lag by explicit metadata/name or empirical match.
00692,Taiwan ETF prices/returns,Taiwan,Taiwan ETF close on date t,Taiwan after-close forecast/allocation timestamp; same-calendar-date U.S. market close is not assumed observable before the Taiwan decision.,0,30,0,0,30,0,0,0,Zero detected timestamp violations,All detected source-specific columns satisfy the required lag by explicit metadata/name or empirical match.
00881,Taiwan ETF prices/returns,Taiwan,Taiwan ETF close on date t,Taiwan after-close forecast/allocation timestamp; same-calendar-date U.S. market close is not assumed observable before the Taiwan decision.,0,30,0,0,30,0,0,0,Zero detected timestamp violations,All detected source-specific columns satisfy the required lag by explicit metadata/name or empirical match.
S&P 500,U.S. broad market,United States,U.S. market close on calendar date t; after Taiwan date-t close,Taiwan after-close forecast/allocation timestamp; same-calendar-date U.S. market close is not assumed observable before the Taiwan decision.,1,30,30,0,0,0,0,0,Zero detected timestamp violations,All detected source-specific columns satisfy the required lag by explicit metadata/name or empirical match.
NASDAQ,U.S. technology market,United States,U.S. market close on calendar date t; after Taiwan date-t close,Taiwan after-close forecast/allocation timestamp; same-calendar-date U.S. market close is not assumed observable before the Taiwan decision.,1,34,34,0,0,0,0,0,Zero detected timestamp violations,All detected source-specific columns satisfy the required lag by explicit metadata/name or empirical match.
SOXX,U.S. semiconductor proxy,United States,U.S. ETF close on calendar date t; after Taiwan date-t close,Taiwan after-close forecast/allocation timestamp; same-calendar-date U.S. market close is not assumed observable before the Taiwan decision.,1,30,30,0,0,0,0,0,Zero detected timestamp violations,All detected source-specific columns satisfy the required lag by explicit metadata/name or empirical match.
VIX,U.S. volatility proxy,United States,U.S. market close on calendar date t; after Taiwan date-t close,Taiwan after-close forecast/allocation timestamp; same-calendar-date U.S. market close is not assumed observable before the Taiwan decision.,1,24,24,0,0,0,0,0,Zero detected timestamp violations,All detected source-specific columns satisfy the required lag by explicit metadata/name or empirical match.
U.S. 10-year Treasury yield,U.S. interest-rate proxy,United States,U.S. rate observation on calendar date t; not assumed observable before Taiwan date-t decision,Taiwan after-close forecast/allocation timestamp; same-calendar-date U.S. market close is not assumed observable before the Taiwan decision.,1,24,24,0,0,0,0,0,Zero detected timestamp violations,All detected source-specific columns satisfy the required lag by explicit metadata/name or empirical match.
Nikkei 225,Regional Asian equity markets,Japan,Japan market close; conservative audit uses latest prior observable value,Taiwan after-close forecast/allocation timestamp; same-calendar-date U.S. market close is not assumed observable before the Taiwan decision.,1,31,31,0,0,0,0,0,Zero detected timestamp violations,All detected source-specific columns satisfy the required lag by explicit metadata/name or empirical match.
Hang Seng,Regional Asian equity markets,Hong Kong,Hong Kong market close; conservative audit uses latest prior observable value,Taiwan after-close forecast/allocation timestamp; same-calendar-date U.S. market close is not assumed observable before the Taiwan decision.,1,31,31,0,0,0,0,0,Zero detected timestamp violations,All detected source-specific columns satisfy the required lag by explicit metadata/name or empirical match.
KOSPI,Regional Asian equity markets,Korea,Korea market close; conservative audit uses latest prior observable value,Taiwan after-close forecast/allocation timestamp; same-calendar-date U.S. market close is not assumed observable before the Taiwan decision.,1,30,30,0,0,0,0,0,Zero detected timestamp violations,All detected source-specific columns satisfy the required lag by explicit metadata/name or empirical match.
USD/TWD,Foreign-exchange proxy,FX / Taiwan data source,FX/source-specific timestamp; conservative audit uses latest prior observable value,Taiwan after-close forecast/allocation timestamp; same-calendar-date U.S. market close is not assumed observable before the Taiwan decision.,1,24,24,0,0,0,0,0,Zero detected timestamp violations,All detected source-specific columns satisfy the required lag by explicit metadata/name or empirical match.
